Battery ID,Capacity (mAh),Battery Health (%),Cycle Count,Voltage (V),Temperature (°C),Internal Resistance (mΩ),Last Charge Date,Status
BAT-001,3000,85,500,3.7,30,200,11-01-2024,Good
BAT-002,3200,90,450,3.6,32,180,11-02-2024,Good
BAT-003,2800,75,600,3.8,31,220,11-03-2024,Needs Replacement
BAT-004,3100,80,520,3.7,30,210,11-04-2024,Fair
BAT-005,2950,88,480,3.65,29,190,11-05-2024,Good
BAT-006,3400,92,450,3.85,34,170,11-06-2024,Excellent
BAT-007,3300,89,400,3.7,33,160,11-07-2024,Excellent
BAT-008,3600,85,500,3.7,30,200,11-08-2024,Good
BAT-009,2900,78,550,3.6,27,230,11-09-2024,Needs Replacement
BAT-010,3150,82,530,3.75,28,210,11-10-2024,Fair
BAT-011,3000,87,450,3.7,31,185,11-11-2024,Good
BAT-012,3250,83,420,3.62,32,195,11-12-2024,Good
BAT-013,2850,73,580,3.78,30,225,11/13/2024,Needs Replacement
BAT-014,3120,81,530,3.71,28,205,11/14/2024,Fair
BAT-015,2890,89,470,3.7,29,200,11/15/2024,Good
BAT-016,3450,94,390,3.92,30,180,11/16/2024,Excellent
BAT-017,3350,90,450,3.92,33,175,11/17/2024,Excellent
BAT-018,3550,83,310,3.7,30,145,11/18/2024,Good
BAT-019,2920,79,560,3.67,27,210,11/19/2024,Needs Replacement
BAT-020,3180,87,500,3.74,31,195,11/20/2024,Fair
